timestamp,seq,flight_id,ax,ay,az,gx,gy,gz,mx,my,mz,roll,pitch,yaw,cmd_ail,cmd_elev,cmd_rud,rssi,emi_noise
1761048000000,0,F001,0.017494547413051793,-0.018559759940112865,0.9999867413016917,-0.6807778013626751,0.9919558499052255,1.857905340314125,29.90155307335898,-24.573758685781755,40.18532178271957,0.13652733637469608,0.3545772135142285,-0.17441567779226866,0.0,0.07946773231802451,0.11682550269259515,0.8437678813936502,0.16678744388016417
1761048000005,1,F001,-0.000978563701792655,0.010330655466903961,1.0044236190206988,1.3067589320556054,0.8153536630082399,1.0921314393764914,30.00097920045452,-24.62137116881565,40.181750829260906,0.21643586865562095,0.8642805925487949,0.37369203584333655,0.006283019941676304,0.08377339952279685,0.11899207604675047,0.8589990219126039,0.1805194714577502
1761048000010,2,F001,-0.0010980250304969495,0.014602117953858566,0.9913342925312201,1.2637502643138603,0.6722040197337171,2.127066011695376,30.012016284149635,-24.671072844530624,40.14095612395755,0.5997795782795976,1.025126157890264,-0.21635950131660298,0.01256504772166874,0.08806893840328527,0.1211513094091525,0.8634483298021576,0.225989513149288
1761048000015,3,F001,-0.020953363471830206,0.010590326540708076,1.0031300102914738,0.6286918379546227,-0.08987769206086427,1.654184762928715,29.953157920500953,-24.602740020321974,40.10371744804486,0.21053949619524523,0.5891207635584641,-0.07952908209796056,0.01884509133496727,0.09235382962267158,0.12330306958811654,0.8503939123082742,0.2027875107259826
1761048000020,4,F001,0.007279644759964202,-0.004744803801207823,0.9973287624758075,0.08324537112033548,-0.1612023371807978,3.3822419495601586,30.027848035925015,-24.656456796782734,40.16134625194062,0.3723812081493222,0.5794768381290272,0.39299942171929736,0.025122159089884778,0.09662755513145514,0.12544722385293908,0.8595447327346375,0.20124710226218046
1761048000025,5,F001,0.005883496357147952,0.012722368771074438,1.016774456938658,0.8664035479134851,2.8541337757441347,3.173059724494437,30.09215725974883,-24.535264574958678,40.22436986379279,0.43018423540334605,1.1258899116756074,-0.1185346534462299,0.03139525976465669,0.10088959823008575,0.1275836399420852,0.854373994512618,0.18603215318956307
1761048000030,6,F001,0.005350242277232631,0.023131522774277866,1.0182801171570977,0.5736601208493989,-0.005072648164905491,2.3063478953470606,30.055331031035536,-24.65742935926654,40.25712229160764,0.011325326462967744,1.3210216861835975,0.6904129118791524,0.03766340276396636,0.1051394436314333,0.12971218607134707,0.8424816235484601,0.2022047467076669
1761048000035,7,F001,0.0154121677573165,0.017450767500117408,1.0016969966813893,1.5397998952248653,2.44794880026455,3.28938623817003,29.99613117018744,-24.562176064422754,40.289815473348476,0.33029469640288706,1.184023760661272,0.6390130285699508,0.04392559827537159,0.10937657752308688,0.13183273094197312,0.8485983752575895,0.21315939842261303
1761048000040,8,F001,0.017901449281128558,0.0021416205287127735,1.0162953208055014,1.1492896180508403,1.1417778632274198,2.6531370125085005,30.103086645713017,-24.73238561670763,40.211678993892505,0.2559586273058513,0.7621525052378549,0.5005974491051952,0.05018085742560745,0.11360048762947535,0.13394514374876704,0.8362868132999413,0.18163913594136222
1761048000045,9,F001,0.004346191588120857,0.016615909590276565,1.0001128479694021,0.16869887222892388,0.7233150782876104,2.19057096124215,30.171691656791957,-24.570787605122337,40.197739877110095,0.4925565648339443,1.1159887200773588,0.11503184687501297,0.05642819243674085,0.11781066327380213,0.1360492941881566,0.8328553791715737,0.23484983377275542
1761048000050,10,F001,0.007317943187944218,0.034037995082193975,1.0055905948666122,0.6914857930806563,3.1082754052223858,1.5297718012946944,30.08396889587227,-24.645560426065668,40.2767757346638,0.4992259818539335,0.6022244303358798,0.359765436956814,0.06266661678215213,0.12200659543978687,0.13814505246623124,0.8750168178082582,0.1966976539518576
1761048000055,11,F001,0.01245750561324492,0.029913327511170137,1.0153087538270515,1.2867933169197268,2.0315859443709146,2.6856686103843024,30.036529365763183,-24.56437844992523,40.215377200079665,0.6707947206540058,1.3104688805403655,0.3365542294860065,0.06889514534231904,0.12618777683320623,0.14023228930674844,0.8413539107570063,0.2415350795808906
1761048000060,12,F001,0.0249933641513346,0.032724774199224996,1.022816429947403,0.9189626803691885,2.153052772342836,1.058488147971336,30.05653295427039,-24.624121501217083,40.21745564842523,0.7740005852936043,1.2039172514919525,0.6544701777559503,0.07511279456037853,0.13035370194322637,0.14231087595910816,0.8554025738742566,0.17901745607885483
